week_of,keyword,device,group,planned_page,ranking_page,position_latest,median_7d,median_prior_7d,gsc_impressions_28d,ai_overview_on_page,testing_com_in_ai_overview,signals
2026-09-25,acth stim test,desktop,selling-test-page,/tests/acth-stimulation-test/,/tests/adrenocorticotropic-hormone-acth/,23,,,74,yes,yes,
2026-09-25,acth stimulation test,phone,selling-test-page,/tests/acth-stimulation-test/,/tests/acth-stimulation-test/,15,15,,1003,yes,yes,refresh
2026-09-25,acth stimulation test,desktop,selling-test-page,/tests/acth-stimulation-test/,/tests/acth-stimulation-test/,16,,,1003,yes,yes,
2026-09-25,activated clotting time,phone,next-in-line,/tests/activated-clotting-time-act/,/tests/activated-clotting-time-act/,2,2,,558,yes,yes,
2026-09-25,activated clotting time,desktop,next-in-line,/tests/activated-clotting-time-act/,/tests/activated-clotting-time-act/,3,,,558,yes,yes,
2026-09-25,acute hepatitis panel,phone,selling-test-page,/tests/acute-viral-hepatitis-panel/,/tests/acute-viral-hepatitis-panel/,2,2,,1035,yes,yes,
2026-09-25,acute hepatitis panel,desktop,selling-test-page,/tests/acute-viral-hepatitis-panel/,/tests/acute-viral-hepatitis-panel/,4,,,1035,yes,yes,
2026-09-25,acute viral hepatitis panel,phone,kept,/tests/acute-viral-hepatitis-panel/,/tests/acute-viral-hepatitis-panel/,2,2,,62,yes,yes,
2026-09-25,acute viral hepatitis panel,desktop,kept,/tests/acute-viral-hepatitis-panel/,/tests/acute-viral-hepatitis-panel/,2,,,62,yes,yes,
2026-09-25,adh,phone,next-in-line,/tests/antidiuretic-hormone-adh/,/tests/antidiuretic-hormone-adh/,12,12,,11788,yes,no,refresh
2026-09-25,adh,desktop,next-in-line,/tests/antidiuretic-hormone-adh/,/tests/antidiuretic-hormone-adh/,7,,,11788,yes,no,
2026-09-25,adh hormone,phone,next-in-line,/tests/antidiuretic-hormone-adh/,/tests/antidiuretic-hormone-adh/,9,9,,181,yes,no,
2026-09-25,adh hormone,desktop,next-in-line,/tests/antidiuretic-hormone-adh/,,,,,181,yes,no,
2026-09-25,adrenal gland test,phone,selling-test-page,/tests/acth-stimulation-test/,/tests/cortisol-am-and-pm-test/,16,16,,147,yes,no,other page ranks
2026-09-25,adrenal gland test,desktop,selling-test-page,/tests/acth-stimulation-test/,/tests/cortisol/,16,,,147,yes,no,
2026-09-25,afb culture,phone,next-in-line,/tests/acid-fast-bacillus-afb-testing/,/tests/acid-fast-bacillus-afb-testing/,7,7,,1336,yes,yes,
2026-09-25,afb culture,desktop,next-in-line,/tests/acid-fast-bacillus-afb-testing/,/tests/acid-fast-bacillus-afb-testing/,6,,,1336,yes,yes,
2026-09-25,afp test,phone,kept,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,5,5,,3217,yes,no,
2026-09-25,afp test,desktop,kept,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,5,,,3217,yes,yes,
2026-09-25,afp tumor marker,phone,next-in-line,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,3,3,,4900,yes,yes,buy button
2026-09-25,afp tumor marker,desktop,next-in-line,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,4,,,4900,yes,yes,
2026-09-25,alanine aminotransferase,phone,kept,/tests/alanine-aminotransferase-alt/,/tests/alanine-aminotransferase-alt/,20,20,,210,yes,no,
2026-09-25,alanine aminotransferase,desktop,kept,/tests/alanine-aminotransferase-alt/,/tests/alanine-aminotransferase-alt/,21,,,210,yes,no,
2026-09-25,alanine aminotransferase high,phone,kept,/tests/alanine-aminotransferase-alt/,/tests/alanine-aminotransferase-alt/,22,22,,21,yes,no,
2026-09-25,alanine aminotransferase high,desktop,kept,/tests/alanine-aminotransferase-alt/,/tests/alanine-aminotransferase-alt/,35,,,21,yes,no,
2026-09-25,albumin,phone,selling-test-page,/tests/albumin/,,,101,,151,yes,no,
2026-09-25,albumin,desktop,selling-test-page,/tests/albumin/,,,,,151,yes,no,
2026-09-25,albumin blood test,phone,selling-test-page,/tests/albumin/,/tests/albumin/,11,11,,186,yes,no,
2026-09-25,albumin blood test,desktop,selling-test-page,/tests/albumin/,/tests/albumin/,11,,,186,yes,no,
2026-09-25,albumin test,phone,selling-test-page,/tests/albumin/,/tests/albumin/,11,11,,121,yes,no,
2026-09-25,albumin test,desktop,selling-test-page,/tests/albumin/,/tests/albumin/,12,,,121,yes,no,
2026-09-25,aldolase,phone,next-in-line,/tests/aldolase/,/tests/aldolase/,8,8,,1557,yes,no,refresh
2026-09-25,aldolase,desktop,next-in-line,/tests/aldolase/,/tests/aldolase/,8,,,1557,yes,no,
2026-09-25,aldolase test,phone,next-in-line,/tests/aldolase/,,,101,,2029,yes,yes,
2026-09-25,aldolase test,desktop,next-in-line,/tests/aldolase/,/tests/aldolase/,6,,,2029,yes,yes,
2026-09-25,aldosterone,phone,selling-test-page,/tests/aldosterone-and-renin/,/tests/aldosterone-and-renin/,21,21,,301,yes,no,
2026-09-25,aldosterone,desktop,selling-test-page,/tests/aldosterone-and-renin/,/tests/aldosterone-and-renin/,28,,,301,yes,no,
2026-09-25,aldosterone blood test,phone,selling-test-page,/tests/aldosterone-and-renin/,/tests/aldosterone-and-renin/,2,2,,481,yes,yes,
2026-09-25,aldosterone blood test,desktop,selling-test-page,/tests/aldosterone-and-renin/,/tests/aldosterone-and-renin/,3,,,481,yes,yes,
2026-09-25,aldosterone test,phone,selling-test-page,/tests/aldosterone-and-renin/,/tests/aldosterone-and-renin/,3,3,,843,yes,yes,
2026-09-25,aldosterone test,desktop,selling-test-page,/tests/aldosterone-and-renin/,/tests/aldosterone-and-renin/,3,,,843,yes,yes,
2026-09-25,alkaline phosphatase,phone,next-in-line,/tests/alkaline-phosphatase-alp/,/tests/alkaline-phosphatase-alp/,5,5,,42944,yes,no,
2026-09-25,alkaline phosphatase,desktop,next-in-line,/tests/alkaline-phosphatase-alp/,/tests/alkaline-phosphatase-alp/,5,,,42944,yes,no,
2026-09-25,alkaline phosphatase blood test,phone,next-in-line,/tests/alkaline-phosphatase-alp/,,,101,,6144,yes,no,
2026-09-25,alkaline phosphatase blood test,desktop,next-in-line,/tests/alkaline-phosphatase-alp/,/tests/alkaline-phosphatase-alp/,7,,,6144,yes,no,
2026-09-25,allergen food test,phone,selling-test-page,/tests/food-allergy-testing/,/tests/food-allergy-testing/,11,11,,1969,yes,yes,refresh
2026-09-25,allergen food test,desktop,selling-test-page,/tests/food-allergy-testing/,/tests/food-allergy-testing/,8,,,1969,yes,yes,
2026-09-25,allergy diagnosis,phone,category,/allergy-testing/,/tests/allergy-blood-testing/,17,17,,55,yes,no,other page ranks
2026-09-25,allergy diagnosis,desktop,category,/allergy-testing/,/tests/allergy-blood-testing/,17,,,55,yes,no,
2026-09-25,allergy testing,phone,category,/allergy-testing/,,,101,,1020,no,no,
2026-09-25,allergy testing,desktop,category,/allergy-testing/,,,,,1020,yes,no,
2026-09-25,almond allergy test,phone,not-ranking-yet,/tests/almond-allergy-test/,/tests/almond-allergy-test/,6,6,,5,yes,yes,
2026-09-25,almond allergy test,desktop,not-ranking-yet,/tests/almond-allergy-test/,/tests/almond-allergy-test/,6,,,5,yes,yes,
2026-09-25,almond allergy testing,phone,not-ranking-yet,/tests/almond-allergy-test/,/tests/almond-allergy-test/,8,8,,9,yes,yes,
2026-09-25,almond allergy testing,desktop,not-ranking-yet,/tests/almond-allergy-test/,/tests/almond-allergy-test/,5,,,9,yes,yes,
2026-09-25,alpha fetoprotein,phone,next-in-line,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,5,5,,5858,yes,yes,
2026-09-25,alpha fetoprotein,desktop,next-in-line,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,6,,,5858,yes,yes,
2026-09-25,alpha fetoprotein tumor marker,phone,kept,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,4,4,,2060,yes,yes,
2026-09-25,alpha fetoprotein tumor marker,desktop,kept,/tests/alpha-fetoprotein-afp-tumor-marker/,/tests/alpha-fetoprotein-afp-tumor-marker/,4,,,2060,yes,yes,
2026-09-25,alt,phone,selling-test-page,/tests/alanine-aminotransferase-alt/,,,101,,56825,yes,yes,
2026-09-25,alt,desktop,selling-test-page,/tests/alanine-aminotransferase-alt/,,,,,56825,yes,no,
2026-09-25,alt blood test,phone,selling-test-page,/tests/alanine-aminotransferase-alt/,/tests/alanine-aminotransferase-alt/,19,19,,157,yes,no,
2026-09-25,alt blood test,desktop,selling-test-page,/tests/alanine-aminotransferase-alt/,/tests/alanine-aminotransferase-alt/,34,,,157,yes,no,
2026-09-25,am cortisol test,desktop,leaving,/tests/cortisol-am-and-pm-test/,/tests/cortisol-am-and-pm-test/,7,,,325,yes,yes,
2026-09-25,amh blood test,phone,selling-test-page,/tests/anti-mullerian-hormone/,/tests/anti-mullerian-hormone/,17,17,,207,yes,yes,
2026-09-25,amh blood test,desktop,selling-test-page,/tests/anti-mullerian-hormone/,/tests/anti-mullerian-hormone/,15,,,207,yes,yes,
2026-09-25,amh test,phone,selling-test-page,/tests/anti-mullerian-hormone/,/tests/anti-mullerian-hormone/,20,20,,378,yes,no,
2026-09-25,amh test,desktop,selling-test-page,/tests/anti-mullerian-hormone/,/tests/anti-mullerian-hormone/,26,,,378,yes,no,
2026-09-25,ammonia blood test,phone,selling-test-page,/tests/ammonia/,/tests/ammonia/,9,9,,775,yes,yes,
2026-09-25,ammonia blood test,desktop,selling-test-page,/tests/ammonia/,/tests/ammonia/,9,,,775,yes,yes,
2026-09-25,ammonia in blood,phone,selling-test-page,/tests/ammonia/,/tests/ammonia/,19,19,,0,yes,no,
2026-09-25,ammonia in blood,desktop,selling-test-page,/tests/ammonia/,/tests/ammonia/,15,,,0,yes,no,
2026-09-25,ammonia levels,phone,kept,/tests/ammonia/,/tests/ammonia/,32,32,,53,yes,no,
2026-09-25,ammonia levels,desktop,kept,/tests/ammonia/,/tests/ammonia/,31,,,53,yes,no,
2026-09-25,ammonia test,phone,selling-test-page,/tests/ammonia/,/tests/ammonia/,11,11,,312,yes,no,
2026-09-25,ammonia test,desktop,selling-test-page,/tests/ammonia/,/tests/ammonia/,11,,,312,yes,yes,
2026-09-25,amylase,phone,selling-test-page,/tests/amylase/,,,101,,547,yes,no,
2026-09-25,amylase,desktop,selling-test-page,/tests/amylase/,,,,,547,yes,no,
2026-09-25,amylase blood test,phone,selling-test-page,/tests/amylase/,/tests/amylase/,3,3,,3464,yes,yes,
2026-09-25,amylase blood test,desktop,selling-test-page,/tests/amylase/,/tests/amylase/,3,,,3464,yes,yes,
2026-09-25,amylase test,phone,selling-test-page,/tests/amylase/,/tests/amylase/,8,8,,1179,yes,yes,refresh
2026-09-25,amylase test,desktop,selling-test-page,/tests/amylase/,/tests/amylase/,11,,,1179,yes,yes,
2026-09-25,ana blood test,phone,kept,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,16,16,,469,yes,no,
2026-09-25,ana blood test,desktop,kept,/tests/antinuclear-antibody-ana/,,,,,469,yes,no,
2026-09-25,ana lab,phone,selling-test-page,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,11,11,,841,yes,yes,
2026-09-25,ana lab,desktop,selling-test-page,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,18,,,841,yes,yes,
2026-09-25,ana panel,phone,kept,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,24,24,,35,yes,no,
2026-09-25,ana panel,desktop,kept,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,51,,,35,yes,no,
2026-09-25,ana reflex,phone,selling-test-page,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,25,25,,830,yes,no,
2026-09-25,ana reflex,desktop,selling-test-page,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,25,,,830,yes,no,
2026-09-25,ana screen,phone,selling-test-page,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,25,25,,744,yes,no,
2026-09-25,ana screen,desktop,selling-test-page,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,25,,,744,yes,no,
2026-09-25,ana test,phone,kept,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,28,28,,376,yes,no,
2026-09-25,ana test,desktop,kept,/tests/antinuclear-antibody-ana/,/tests/antinuclear-antibody-ana/,42,,,376,yes,no,
2026-09-25,anemia blood panel,phone,not-ranking-yet,/tests/anemia-panel-basic-test/,/tests/anemia-testing/,2,2,,26,yes,yes,other page ranks
2026-09-25,anemia blood panel,desktop,not-ranking-yet,/tests/anemia-panel-basic-test/,/tests/anemia-testing/,2,,,26,yes,yes,
2026-09-25,anemia blood test,desktop,leaving,/tests/anemia-testing/,/tests/anemia-testing/,5,,,1246,yes,yes,
2026-09-25,anemia panel,phone,selling-test-page,/tests/anemia-testing/,/tests/anemia-testing/,5,5,,734,yes,yes,
2026-09-25,anemia panel,desktop,selling-test-page,/tests/anemia-testing/,/tests/anemia-testing/,5,,,734,yes,yes,
2026-09-25,anemia panel blood test,phone,kept,/tests/anemia-testing/,/tests/anemia-testing/,1,1,,100,yes,yes,
2026-09-25,anemia panel blood test,desktop,kept,/tests/anemia-testing/,/tests/anemia-testing/,1,,,100,yes,yes,
2026-09-25,anemia panel labs,phone,not-ranking-yet,/tests/anemia-panel-basic-test/,/tests/anemia-testing/,6,6,,132,no,no,other page ranks
2026-09-25,anemia panel labs,desktop,not-ranking-yet,/tests/anemia-panel-basic-test/,/tests/anemia-testing/,6,,,132,yes,yes,
2026-09-25,anemia panel test,phone,kept,/tests/anemia-testing/,/tests/anemia-testing/,5,5,,93,yes,yes,
2026-09-25,anemia panel test,desktop,kept,/tests/anemia-testing/,/tests/anemia-testing/,5,,,93,yes,yes,
2026-09-25,anemia test,phone,category,/anemia-testing/,/tests/anemia-testing/,16,16,,353,yes,yes,other page ranks
2026-09-25,anemia test,desktop,category,/anemia-testing/,/tests/anemia-testing/,17,,,353,yes,yes,
2026-09-25,anion gap blood test,phone,selling-test-page,/tests/electrolytes-and-anion-gap/,/tests/electrolytes-and-anion-gap/,36,36,,66,yes,no,
2026-09-25,anion gap blood test,desktop,selling-test-page,/tests/electrolytes-and-anion-gap/,/tests/electrolytes-and-anion-gap/,46,,,66,yes,no,
2026-09-25,ankylosing spondylitis diagnosis,phone,category,/ankylosing-spondylitis-testing/,/ankylosing-spondylitis-testing/,8,8,,1867,yes,no,refresh
2026-09-25,ankylosing spondylitis diagnosis,desktop,category,/ankylosing-spondylitis-testing/,/ankylosing-spondylitis-testing/,8,,,1867,yes,no,
2026-09-25,ankylosing spondylitis physical exam,phone,category,/ankylosing-spondylitis-testing/,/ankylosing-spondylitis-testing/,4,4,,2679,yes,no,
2026-09-25,ankylosing spondylitis physical exam,desktop,category,/ankylosing-spondylitis-testing/,/ankylosing-spondylitis-testing/,4,,,2679,yes,no,
2026-09-25,anti centromere antibody,phone,next-in-line,/tests/anticentromere-antibody/,/tests/anticentromere-antibody/,1,1,,624,yes,yes,
2026-09-25,anti centromere antibody,desktop,next-in-line,/tests/anticentromere-antibody/,/tests/anticentromere-antibody/,1,,,624,yes,yes,
2026-09-25,anti hav,phone,selling-test-page,/tests/hepatitis-a-test/,/tests/hepatitis-a-test/,7,7,,112,yes,yes,
2026-09-25,anti hav,desktop,selling-test-page,/tests/hepatitis-a-test/,/tests/hepatitis-a-test/,7,,,112,yes,yes,
2026-09-25,anti mullerian hormone test,phone,selling-test-page,/tests/anti-mullerian-hormone/,/tests/anti-mullerian-hormone/,15,15,,330,yes,no,
2026-09-25,anti mullerian hormone test,desktop,selling-test-page,/tests/anti-mullerian-hormone/,/tests/anti-mullerian-hormone/,12,,,330,yes,yes,
2026-09-25,anti musk antibody test,phone,next-in-line,/tests/anti-musk-muscle-specific-kinase-antibodies/,/tests/anti-musk-muscle-specific-kinase-antibodies/,1,1,,36,yes,yes,
2026-09-25,anti musk antibody test,desktop,next-in-line,/tests/anti-musk-muscle-specific-kinase-antibodies/,/tests/anti-musk-muscle-specific-kinase-antibodies/,7,,,36,yes,yes,
2026-09-25,anticardiolipin antibody,phone,next-in-line,/tests/cardiolipin-antibodies/,/tests/cardiolipin-antibodies/,10,10,,1519,yes,yes,refresh
2026-09-25,anticardiolipin antibody,desktop,next-in-line,/tests/cardiolipin-antibodies/,/tests/cardiolipin-antibodies/,9,,,1519,yes,yes,
